Proto,Adresselocale,Adressedistante,Ã‰tat
TCP,0.0.0.0:135,AHMAD:0,LISTENING
TCP,0.0.0.0:445,AHMAD:0,LISTENING
TCP,0.0.0.0:3389,AHMAD:0,LISTENING
TCP,0.0.0.0:5040,AHMAD:0,LISTENING
TCP,0.0.0.0:30019,AHMAD:0,LISTENING
TCP,0.0.0.0:49664,AHMAD:0,LISTENING
TCP,0.0.0.0:49665,AHMAD:0,LISTENING
TCP,0.0.0.0:49666,AHMAD:0,LISTENING
TCP,0.0.0.0:49667,AHMAD:0,LISTENING
TCP,0.0.0.0:49668,AHMAD:0,LISTENING
TCP,0.0.0.0:49669,AHMAD:0,LISTENING
TCP,0.0.0.0:49670,AHMAD:0,LISTENING
TCP,0.0.0.0:49672,AHMAD:0,LISTENING
TCP,0.0.0.0:49699,AHMAD:0,LISTENING
TCP,127.0.0.1:8884,AHMAD:0,LISTENING
TCP,127.0.0.1:49712,AHMAD:0,LISTENING
TCP,127.0.0.1:49715,AHMAD:0,LISTENING
TCP,127.0.0.1:49716,AHMAD:0,LISTENING
TCP,127.0.0.1:49992,AHMAD:0,LISTENING
TCP,127.0.0.1:50029,AHMAD:50030,ESTABLISHED
TCP,127.0.0.1:50030,AHMAD:50029,ESTABLISHED
TCP,127.0.0.1:50031,AHMAD:50032,ESTABLISHED
TCP,127.0.0.1:50032,AHMAD:50031,ESTABLISHED
TCP,172.17.1.125:139,AHMAD:0,LISTENING
TCP,172.17.1.125:49713,zahn:30016,ESTABLISHED
TCP,172.17.1.125:49924,huxley:microsoft-ds,ESTABLISHED
TCP,172.17.1.125:49942,spinrad:epmap,ESTABLISHED
TCP,172.17.1.125:49943,spinrad:49692,ESTABLISHED
TCP,172.17.1.125:49947,spinrad:49692,ESTABLISHED
TCP,172.17.1.125:49949,spinrad:49692,ESTABLISHED
TCP,172.17.1.125:50984,zahn:30229,ESTABLISHED
TCP,172.17.1.125:51799,par21s19-in-f10:https,ESTABLISHED
TCP,172.17.1.125:51800,par21s19-in-f10:https,ESTABLISHED
TCP,172.17.1.125:51841,par21s20-in-f14:https,ESTABLISHED
TCP,172.17.1.125:52017,93:https,ESTABLISHED
TCP,172.17.1.125:52057,a23-192-237-208:https,CLOSE_WAIT
TCP,172.17.1.125:52059,a2-22-251-34:https,CLOSE_WAIT
TCP,172.17.1.125:52067,51.105.69.4:https,ESTABLISHED
TCP,172.17.1.125:52089,ec2-13-51-62-86:https,ESTABLISHED
TCP,172.17.1.125:52096,ec2-3-233-247-165:https,ESTABLISHED
TCP,172.17.1.125:52097,ec2-54-173-95-250:https,ESTABLISHED
TCP,172.17.1.125:52140,waw02s07-in-f10:https,ESTABLISHED
TCP,172.17.1.125:52171,20.199.120.182:https,ESTABLISHED
TCP,172.17.1.125:52185,123:https,TIME_WAIT
TCP,172.17.1.125:52219,20.190.159.0:https,TIME_WAIT
TCP,172.17.1.125:52220,4.208.221.206:https,TIME_WAIT
TCP,172.17.1.125:52221,nelson2:https,ESTABLISHED
TCP,172.17.1.125:52222,nelson2:https,TIME_WAIT
TCP,172.17.1.125:52223,a2-22-151-174:https,ESTABLISHED
TCP,172.17.1.125:52224,a-0003:https,ESTABLISHED
TCP,172.17.1.125:52225,a-0003:https,TIME_WAIT
TCP,172.17.1.125:52226,baxter:epmap,TIME_WAIT
TCP,172.17.1.125:52227,baxter:49155,TIME_WAIT
TCP,172.17.1.125:52233,104.208.16.95:https,ESTABLISHED
TCP,172.17.1.125:52234,ham02s14-in-f197:https,ESTABLISHED
TCP,172.17.1.125:52235,nelson2:https,TIME_WAIT
TCP,172.17.1.125:52236,52.142.124.215:https,ESTABLISHED
TCP,172.17.1.125:52238,baxter:epmap,TIME_WAIT
TCP,172.17.1.125:52239,baxter:49155,TIME_WAIT
TCP,172.17.1.125:52240,a23-46-188-249:http,ESTABLISHED
TCP,172.17.1.125:52241,a2-22-250-120:http,ESTABLISHED
